id,product,chunk_text,chunk_index
14069121,Credit card,a xxxx xxxx card was opened under my name by a fraudster i received a notice from xxxx that an account was just opened under my name i reached out to xxxx xxxx to state that this activity was unauthorized and not me xxxx xxxx confirmed this was fraudulent and immediately closed the card however they have failed to remove this from the three credit agencies and this fraud is now impacting my credit score based on a hard credit pull done by xxxx xxxx that was done by a fraudster,0
14061897,Checking or savings account,i made the mistake of using my wellsfargo debit card to depsit funds into xxxxxxxx atm machine outside their branch i went into the branch and was told they couldnt help and had to phone the customer service for help i did this and was told i was helped gave all the info for the time terminal id aact s xxxx was able to find the transaction and give me this info he said the dispute would take a few days i waited a few days and got a letter stating my dispute was rejected i went back into xxxx and they said they never got the transaction,0
14047085,Credit card,dear cfpb i have a secured credit card with citibank which is changed to unsecured card and i have been calling n waitting for the check release the secured amount 250000 for rhat credit card they told me to wait then today they told me someone cashed my check but their system doesnt have info as of who where and when did it happen i requested a case number but they wont send me any confirmation whatsoever to report to the police they told me i have to wait for some form that might be sent to me via mail within 14 days to fill out i called customer service second time today and their manager told me same thing no info no help at all please help me its a big bank but the service is so terrible and lil customer like me can do nothing thank so much and look forward for your reply,0
14040217,Credit card,i have a citi rewards cards the credit balance issued to me was 840000 i recently moved which meant my bills would be lowered which meant id have less use for my credit cards so in order to keep my usage in a generally good area i used each of my cards with the intention to pay them down monthly which would result in a boost to my credit score showing creditors i can pay doen all of my cards are in good standing my credit is in good standing but on the xxxx xxxx xxxx citi abruptly slashes the balance of my card from 840000 down to 540000 and sends me a message that i have just about reached my credit limit i contacted them and all they said was consult a letter they emailed on the xxxx the slashing action was taken the day of the letter xxxx and i had no recourse to respond nor was i even aware of this action prior to the notification about reaching my limit which i received on or about the xxxx of xxxx this is an egregious act that not only blindsided me but manipulates my account to make it appear that im close to reaching the limit when in fact i was no where near the limit this could negatively impact my credit score through no fault of my own,0
13968411,Credit card,bi am writing to dispute the following charges on my citi credit card accounts where i have become a victim of identity theft when someone made a purchase without my authorization i have not made any purchases and have no knowledge of them i strongly believe the unauthorized transaction are the result of identity theft an attachment fromxxxxxxxxshowing a new address for me is also fraudulent i do not have or lived in murfreesboro tn xxxxxxxx thats when i became aware of the fraudulent charges i then started the communications with citi xxxxxxxxabout the unauthorized fraudulent charge i also included statements credit score negative points due to inaccurate charges after several attempts to clear this matter it has become apparent that i am being ignored by citi i am not sure how to proceed to try and get the right help to clear this matter i am hoping i have reached the correct citi group to clear this matternnaccount opened xxxxxxxxcredit card numberxxxxxxxxn1tcharge 1 of xxxxxxxx charge amount was disputed and citi closed account and mailed a 2nd different accountnnew citi credit card replacement xxxxxxxxn xxxxxxxxtcharge 2 interest charge and previously monthly payment total xxxxxxxx dollars charge amount was disputed and citi closed account and mailed a 3rd different accountnnew citi credit card replacemenxxxxxxxxtcharge 3 interest charge including previously monthly payment total xxxxxxxxni have made three 3 phone call attempts to phone numberxxxxxxxx between march 4 2025 thrxxxxxxxx to citi to resolve the unauthorized charges with citi to no avail in return citi has closed the original credit card with the credit card numbers as listed above but has kept transferring the unauthorized charges of the original credit card that was opened on xxxxxxxxo the new credit card accounts citi needs to remove all charges and credit my account showing a zero balance i did not make any purchases whatsoever and i should not be responsible for any payments citi has turned in a late payment exceeding 30 days to the credit bureau and it has cost me a negative ofxxxxxxxx points i have lost all faith in communicating with citi by telephone to resolve this issue that is extremely frustrating i need help to clear this matternni am requesting that you immediately remove these charges from my account and credit my account for the total amount ofxxxxxxxxdollars i also request that you investigate these unauthorized transaction and take steps to prevent future fraudulent charges to my accountnni have attached copies of my credit card statement and other documents that support my claimnnplease send me written confirmation that you have removed the fraudulent charges and credited my account and also that you have investigated the matternnthank you for your prompt attention to this matter,0
13965746,Credit card,although the account had been deemed closed i continued to make payments towards the dept however they requested that i pay xxxx as a minimal payment which i could not afford however i did forward xxxx dollars per month towards the dept the problem here however is that the continued xxxx dollars per month was never included towards the dept they just very simply kept my monies without applying it towards the overall dept their explanation to me was that since i did not forward the latter xxxx the xxxx dollars served as interest towards the dept first there was no practical reason for them to charge me an increase of xxxx for missing one payment and at no time had i violated any rule regular or policy of agreement with this creditor and was consistently paying over the minimal amount initially requested monthly i want all those xxxx dollar payments accredited to my dept balance so that this account can be paid off in a fair and equitable way,0
13960106,Checking or savings account,got locked out of my account because i was trying to link my bank account to my xxxx and called customary service to get my account unlocked got told that i needed an account number and or debit card number which i dont have since i cant access my account and the delivery date for card hadnt arrived so i suggested using my social security number as verification which they agreed i was told to provide my secret word which i have no recollection of being told to provide at all i was told that it was my mothers maiden name which i proceeded to provide and was told that it was wrong kept trying to provide other forms of id as proof and was shut down immediately by the customer service rep called a few days later after the card was supposed to be shipped to my location card was never sent to me till this day and requested for a status for when i could receive my card and they refused to provide me with that information because i didnt have sufficient proof of identification spoke with a manager today about this and they didnt even try to help at all and shut me down instantly as well now i dont have access to my funds havent received any debit card from this institution and havent been provided with a solution,0
14025020,Credit card,i was trying to log into my account and it would not let me because the company supposedly sent a new credit card i do not have said credit card the citibank system will not let you log into your account i called to have them clear this and they would not stating that they had to send a new card and it had to be activated before i can get into my account in the mean time i am paying interest on a balance i cant pay off because i can cant get into the account there are no physical locations this company is sham i will never open another account with them,0
13950990,Credit card,i received an email in xxxx from my xxxx xxxx xxxx saying that i was late on my home depot card account i immediately called home depot and tried to set up a fraudulent charge but they couldnt verify my identity because someone changed everything in their system then they sent the verification letter to my home address and i finally was able to do the fraud claim i had multiple problems with this due to all the misinformation i received from the employees at citicard and home depot i just was notified that they found my charges weee not fraud and now i am contacting you because this is not right i received a copy of the receipt showing it was done online for a store in xxxx xxxx illinois and sent to an address in illinois i have lived in colorado since i opened this home depot account and have never lived at the address listed in the receipt or had the email address address or phone number on this receipt please help since they are reporting i am late on my payments to my credit reporting companies,0
13949860,"Payday loan, title loan, personal loan, or advance loan",under idaho state law2846413 payday loan business practices 1 no licensee or person related to a licensee by common control may have outstanding at any time to a single borrower a loan or loans with an aggregate principal balance exceeding one thousand dollars 100000 plus allowable fees 2 a payday lender shall not make a payday loan that exceeds twentyfive percent 25 of the gross monthly income of the borrower when the loan is made 3 a payday lender shall obtain income information from a borrower consistent with subsection 4 of this section not less than once every twelve 12 months 4 a payday lender shall not be in violation of subsection 2 of this section if the borrower presents evidence of his gross monthly income to the payday lender or represents to the payday lender in writing that the payday loan does not exceed twentyfive percent 25 of the borrowers gross monthly income when the loan is made 5 no payday loan shall be repaid by the proceeds of another payday loan made by the same licensee or a person related to the licensee by common control 6 if the borrowers check is returned unpaid to the licensee from a payor financial institution the licensee shall have the right to collect charges authorized by section 2822105 idaho code provided such charges are disclosed in the loan agreement a licensee may not charge treble damages if the borrowers obligation is assigned to any third party for collection the provisions of this section shall apply to such third party collector 7 a licensee or person required to be licensed pursuant to this part shall not threaten a borrower with criminal action as a result of any payment deficit 8 no licensee or person required to be licensed pursuant to this part shall engage in unfair or deceptive acts practices or advertising in the conduct of a payday loan business 9 a licensee may renew a payday loan no more than three 3 consecutive times after which the payday loan shall be repaid in full by the borrower a borrower may enter into a new loan transaction with the licensee at any time after a prior loan to the borrower is completed a loan secured by a borrowers check is completed when the check is presented or deposited by the licensee or redeemed by the borrower pursuant to section 2846412 5 idaho code 10 other than a borrowers check in a transaction pursuant to section 2846412 5 idaho code a licensee shall not accept any property title to property or other evidence of ownership as collateral for a payday loan 11 a licensee may conduct other business at a location where it engages in payday lending unless it carries on such other business for the purpose of evading or violating the provisions of this act 12 a borrower may rescind the payday loan at no cost at any time prior to the close of business on the next business day following the day on which the payday loan was made by paying the principal amount of the loan to the licensee in cash or other immediately available funds history 2846413 added 2003 ch 182 sec 1 p 496 am 2013 ch 54 sec 6 p 117 am 2014 ch 270 sec 3 p 675 failure to follow section 9 of what is stated above has caused me to no be able to pay back said loan i am now getting hounded daily with phone calls demanding i pay and leaving border line hostile sounding messages on my voice mail to day as of xxxxxxxx at xxxx xxxx im writing this i was left a voice mail at xxxx xxxx demanding i call them back they loan is also exceeding the xxxx dollar limit it is over that amount they never originally went trough when i first got the loan to go over income and expenses either all they asked was proof of income and residency and thats it the loans goes over the gross 25 limit as stated above as well,0
